Flu | Viral 
COVID-19 | Viral
Typhoid | Bacterial
Tuberculosis | Bacterial
Malaria | Parasitic
Dengue | Viral
Asthma | Chronic
Diabetes | Chronic
Iron Deficiency Anemia | Deficiency
Vitamin D Deficiency | Deficiency 
Chickenpox | Viral
Common Cold | Viral
Influenza | Viral
Measles | Viral
Mumps | Viral
Rubella | Viral
Hepatitis A | Viral
Hepatitis B | Viral
Herpes Simplex | Viral
Hookworm Infection | Parasitic
Hypertension | Chronic
Influenza | Viral
Iron Deficiency Anemia | Deficiency
Leprosy | Bacterial
Malaria | unknown
Measles | Viral
Mononucleosis | Viral
Mumps | Viral
Night Blindness | Deficiency
Norovirus Infection | Viral
Onychomycosis | Fungal
Osteoarthritis | Chronic
Osteoporosis | Chronic
Pellagra | Deficiency
Pertussis | Bacterial
Pneumonia (Streptococcal) | Bacterial
Rheumatoid Arthritis | Chronic
Rickets | Deficiency
Ringworm | Fungal
Athlete's Foot | Fungal
Candidiasis | Fungal
Aspergillosis | Fungal
Onychomycosis | Fungal
Tinea Versicolor | Fungal
